Iteration,Time,MaxReturn,MeanKLBefore,LossBefore,ProcessExecTime,Perplexity,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,AverageDiscountedReturn,StdReturn,MeanKL,ItrTime,dLoss,AverageReturn,Entropy,NumTrajs,LossAfter,PolicyExecTime
55,257.49211621284485,-1071.53671979611,0.0,-9.536743617033494e-10,0.052146196365356445,11065.394,0.9157426,3.9806604385375977,0.9622822794149373,-1887.83189185713,-659.3956849566725,186.23344578482812,0.006555059924721718,4.926869630813599,0.02489693740010257,-1517.6955601853772,9.311578,50,-0.024896938353776932,0.09221720695495605
56,262.145455121994,-905.7411429822874,0.0,3.8146971692576415e-10,0.04568648338317871,10964.225,0.9145538,3.916271924972534,0.9391668313776065,-1807.2380026678995,-610.2741328290475,208.96443304642443,0.006535624619573355,4.649338245391846,0.02484171503186225,-1404.7424589492703,9.302393,50,-0.024841714650392532,0.09525489807128906
57,266.640177488327,-966.0313095412329,0.0,-2.07901003079769e-08,0.04654335975646973,10780.805,0.91234356,3.9191901683807373,0.9647202041838838,-1794.447897973046,-622.1653389077708,195.8030939252187,0.0064467634074389935,4.488562345504761,0.02604222826361635,-1432.502331522759,9.285522,50,-0.02604224905371666,0.09726190567016602
58,271.3871705532074,-1013.8566507577091,0.0,-4.185438129411523e-08,0.046149253845214844,10730.185,0.9117639,4.199373006820679,0.9723195239121849,-1827.8525007841436,-622.9169038463082,166.44835080241927,0.009841171093285084,4.744331121444702,0.031431927400827675,-1430.5346812129228,9.280816,50,-0.03143196925520897,0.10657572746276855
59,276.072548866272,-960.0415119097055,0.0,-1.8763541831390285e-08,0.046369314193725586,10639.598,0.91069573,4.132952451705933,0.959711502326614,-1820.0052861774918,-623.4982072880404,191.64229878372643,0.009973336942493916,4.682505369186401,0.03384906412363087,-1436.697224577285,9.272338,50,-0.0338490828871727,0.11886143684387207
60,280.74157333374023,-995.6998570450813,0.0,-1.841783503486738e-09,0.04487299919128418,10560.696,0.9097302,4.10616397857666,0.9291094127640944,-1912.178748336193,-623.2670432810959,237.5900716083816,0.006552739068865776,4.663871765136719,0.024709962329268476,-1428.739609669623,9.2648945,50,-0.02470996417105198,0.09697127342224121
61,285.4151108264923,-1032.6021909225615,0.0,-1.4877318932349226e-08,0.04761648178100586,10415.983,0.90799475,4.105232238769531,0.9636900722865308,-1802.9369069068719,-612.6906290810635,163.58996977729106,0.006488972343504429,4.670871734619141,0.025033324980736182,-1407.73441896724,9.251097,50,-0.025033339858055115,0.10396075248718262
62,290.05101442337036,-958.0981647045556,0.0,1.8215178698710588e-08,0.04596257209777832,10198.653,0.90530527,4.1017396450042725,0.9609721740579604,-1764.4494799259928,-598.1430371913416,205.65975581163366,0.006528475787490606,4.633159875869751,0.025844055747985095,-1371.7249074884594,9.230011,50,-0.025844037532806396,0.10379862785339355
63,294.5419361591339,-939.1897233860923,0.0,-2.1123886639884404e-08,0.04709815979003906,10036.45,0.90323657,3.947277784347534,0.9293382070020053,-1838.047964663399,-610.1225026799798,214.6887312857511,0.006403619423508644,4.4882683753967285,0.02769196528792328,-1396.1320640259007,9.213979,50,-0.02769198641180992,0.09527277946472168
64,299.51500844955444,-973.1993133902735,0.0,8.535384843355587e-09,0.047766923904418945,9988.287,0.9026108,4.385252475738525,0.968707569989981,-1712.7282243811842,-589.9818682233421,165.335372520407,0.006537683308124542,4.970462322235107,0.026741543006896684,-1353.8367577273652,9.209168,50,-0.02674153447151184,0.11098694801330566
